code	seed.mass	wood.dens	leaf.mass.area	shade.tol	drought.tol	waterlog.tol	phylogen	dispersion	ass.mycorrhiza
ABBA	0.93	0.33	143.00	5	1	2	G	W	0
ACFR	2.06	0.47	71.09	4	2	2	A	W	1
ACNE	1.57	0.42	37.04	3	3	3	A	W	1
ACNI	1.75	0.52	70.63	3	3	2	A	W	1
ACPL	2.12	0.52	47.32	4	3	1	A	W	1
ACRU	1.39	0.49	71.09	3	2	3	A	W	1
ACSI	2.31	0.44	69.60	4	3	3	A	W	1
ACSA	1.75	0.56	70.63	5	2	1	A	W	1
BEAB	0.07	0.53	65.97	2	1	3	A	W	1
BEAL	0.30	0.55	46.08	3	3	2	A	W	0
BEGL	0.07	0.52	63.00	2	1	4	A	W	0
BELE	0.23	0.60	68.50	3	3	1	A	W	1
BENI	0.35	0.49	84.75	1	2	3	A	W	0
BEPA	0.11	0.48	85.51	2	2	1	A	W	0
BEPO	0.04	0.45	58.44	2	2	1	A	W	0
CACA	1.43	0.58	54.05	5	2	2	A	W	0
CACO	3.45	0.60	44.05	2	4	3	A	A	0
CAOV	3.63	0.64	70.68	3	3	1	A	A	0
CEOC	2.11	0.49	82.64	3	4	3	A	A	1
COAM	2.90	0.52	105.26	4	3	1	A	A	1
CGCA	2.04	0.62	99.00	2	4	1	A	A	1
CRCG	2.22	0.62	99.00	2	5	1	A	A	1
FAGR	2.43	0.56	60.83	5	2	2	A	A	0
FRAM	1.58	0.55	69.13	2	2	3	A	W	1
FRNI	1.75	0.45	71.94	3	2	4	A	W	1
FRPE	1.52	0.53	87.72	3	4	3	A	W	1
GLTR	2.23	0.60	76.12	2	5	3	A	A	1
JUCI	4.15	0.36	60.98	2	2	1	A	A	0
JUNI	4.05	0.51	32.79	2	2	2	A	A	0
LALA	0.48	0.49	120.00	1	2	3	G	W	0
LALE	0.69	0.45	106.95	1	2	2	G	W	0
LITU	1.74	0.40	70.62	2	3	1	A	W	1
MGAC	1.95	0.44	94.87	3	1	2	A	A	1
MORU	0.40	0.64	67.30	2	3	2	A	A	1
NYSY	2.16	0.46	54.64	4	2	2	A	A	1
OSVI	1.22	0.63	37.04	5	3	1	A	W	1
PIAB	0.90	0.37	235.18	4	2	1	G	W	1
PIGL	0.53	0.33	302.86	4	3	1	G	W	0
PIMA	0.33	0.38	294.12	4	2	2	G	W	0
PIRU	0.63	0.37	263.00	4	3	2	G	W	0
PIBA	0.65	0.42	243.90	1	4	1	G	W	1
PINI	1.28	0.42	324.90	2	4	1	G	W	0
PIRE	1.00	0.41	294.12	2	3	1	G	W	0
PNRI	0.95	0.47	204.50	2	4	2	G	W	0
PIST	1.26	0.34	121.92	3	2	1	G	W	0
PISY	0.85	0.42	292.76	2	4	3	G	W	1
POBA	0.09	0.31	83.46	1	2	3	A	W	1
POCA	0.30	0.35	80.92	2	2	3	A	W	1
PODE	0.33	0.37	80.92	2	2	3	A	W	1
POGR	0.06	0.36	70.45	1	3	2	A	W	1
POTR	0.04	0.35	79.66	1	2	2	A	W	1
PRAM	2.89	0.41	86.09	2	2	2	A	A	1
PRCE	2.22	0.41	66.54	3	3	1	A	A	0
PRNI	2.64	0.41	66.54	2	3	1	A	A	1
PRSE	1.93	0.47	57.94	2	3	1	A	A	1
PRVI	1.91	0.36	84.03	3	3	1	A	A	1
QUAL	3.48	0.63	92.26	3	4	1	A	A	0
QUBI	3.54	0.64	82.75	3	3	3	A	A	0
QUCO	3.29	0.60	95.00	2	4	1	A	A	1
QUEL	3.19	0.61	105.26	2	4	1	A	A	0
QUIM	3.04	0.61	95.82	2	4	2	A	A	0
QUMA	3.79	0.58	92.74	3	4	2	A	A	0
QUMU	3.08	0.61	95.82	2	5	1	A	A	0
QUPA	3.04	0.58	82.75	2	2	3	A	A	0
QURU	3.50	0.56	88.03	3	3	1	A	A	1
RHCA	1.36	0.61	75.48	2	3	2	A	A	1
RHTY	1.09	0.45	65.79	2	4	1	A	A	1
SABE	0.07	0.36	88.23	1	1	3	A	W	0
SANI	0.03	0.36	55.87	1	2	5	A	W	0
THOC	0.40	0.29	223.00	3	3	1	G	W	1
TIAM	2.04	0.32	60.81	4	3	1	A	W	0
TSCA	0.60	0.38	122.55	5	1	1	G	W	0
ULAM	0.78	0.46	66.27	3	3	2	A	W	1
ULRU	1.04	0.48	59.88	3	3	2	A	W	1
ULTH	1.79	0.57	64.10	3	2	1	A	W	1
