id	ABBA	ACRU	ACSA	BEAL	BEPA	FAGR	FRAM	FRNI	PIGL	PIMA	PIST	POGR	POTR	QURU	THOC	TIAM	TSCA
1	0	0	50	10	0	20	0	0	0	0	0	0	0	0	0	0	20
2	10	10	0	0	0	0	0	10	0	20	0	0	0	0	40	0	10
3	0	20	30	20	0	0	0	0	0	0	0	0	0	0	10	10	10
4	0	10	40	20	0	10	0	0	0	0	0	0	0	0	10	0	10
5	0	0	0	0	0	0	0	0	10	0	10	0	80	0	0	0	0
6	0	0	50	10	0	20	0	0	0	0	0	0	0	10	0	0	10
7	0	10	50	20	0	0	0	0	0	0	0	0	0	0	0	0	20
8	0	0	60	20	0	0	0	0	0	0	0	0	10	0	10	0	0
9	0	0	70	20	0	10	0	0	0	0	0	0	0	0	0	0	0
10	0	0	60	10	0	10	10	0	0	0	0	0	0	0	0	10	0
11	0	20	30	10	10	0	0	0	10	0	0	0	0	10	0	10	0
12	10	10	0	0	0	0	0	0	0	60	0	0	0	0	20	0	0
13	10	20	40	20	0	0	0	0	0	0	0	10	0	0	0	0	0
14	20	20	0	20	0	0	0	0	0	0	0	0	0	0	20	0	20
15	0	0	60	20	0	0	10	0	0	0	0	0	0	0	0	0	10
16	0	20	0	0	0	0	0	10	0	60	0	0	0	0	0	0	10
17	0	0	80	10	0	10	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	80
19	0	0	70	20	0	0	0	0	0	0	0	0	0	0	0	0	10
20	0	20	0	0	0	0	0	0	10	0	10	0	0	0	10	0	50
21	0	10	70	10	0	0	0	0	0	0	0	0	0	0	0	0	10
22	20	20	0	0	10	0	0	0	0	50	0	0	0	0	0	0	0
23	0	0	80	10	0	10	0	0	0	0	0	0	0	0	0	0	0
24	0	0	70	10	0	10	0	0	0	0	0	0	0	0	0	10	0
25	0	20	10	10	0	0	0	0	0	0	0	0	0	0	20	0	40
26	0	10	50	10	0	10	0	0	0	0	0	10	0	0	0	10	0
27	0	0	80	0	0	10	0	0	0	0	0	0	0	0	0	0	10
28	10	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	60
29	10	10	20	30	0	0	0	0	0	0	0	0	10	0	10	0	10
30	0	0	50	10	0	20	0	0	0	0	0	0	0	10	0	0	10
31	0	0	80	0	0	10	10	0	0	0	0	0	0	0	0	0	0
32	0	10	60	20	0	0	0	0	0	0	0	0	0	0	0	0	10
33	0	10	40	10	0	10	0	0	0	0	0	20	0	0	0	0	10
34	0	20	40	20	0	0	10	0	0	0	0	0	0	0	0	0	10
35	0	10	50	10	0	20	10	0	0	0	0	0	0	0	0	0	0
36	10	0	0	0	0	0	0	0	10	80	0	0	0	0	0	0	0
37	0	0	70	20	0	10	0	0	0	0	0	0	0	0	0	0	0
38	10	10	0	20	0	0	0	0	30	0	0	0	0	0	20	0	10
39	0	0	60	10	0	20	0	0	0	0	0	0	0	0	0	0	10
40	0	0	70	0	0	0	0	0	10	0	0	20	0	0	0	0	0
41	0	20	10	10	0	0	0	0	0	0	20	0	0	0	10	0	30
42	10	20	30	10	0	20	0	0	0	0	0	0	0	0	0	0	10
43	0	0	20	10	0	0	0	0	0	0	0	0	0	60	0	0	10
44	0	10	70	10	0	10	0	0	0	0	0	0	0	0	0	0	0
45	0	0	60	10	10	0	0	0	0	0	10	0	0	10	0	0	0
46	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0
47	0	10	30	30	0	0	0	0	10	0	0	10	0	0	0	0	10
48	0	0	0	0	0	0	0	0	10	0	20	40	0	0	0	0	30
49	10	30	0	10	0	0	0	0	10	0	0	0	10	0	10	0	20
50	0	20	0	10	0	0	0	10	30	0	10	0	10	0	10	0	0
51	0	0	0	0	0	0	0	0	10	0	40	30	0	0	0	0	20
52	0	10	60	10	0	0	0	0	0	0	0	10	0	0	0	0	10
53	10	10	40	30	0	0	0	0	0	0	0	0	0	0	0	0	10
54	0	10	40	10	0	20	0	0	0	0	0	0	0	10	0	0	10
55	0	10	20	20	0	0	0	0	0	0	10	0	0	0	10	0	30
56	20	40	0	10	0	0	0	0	0	10	0	0	10	0	10	0	0
57	10	0	20	10	0	0	0	0	0	0	10	0	0	0	0	0	50
58	10	0	50	10	0	0	0	0	0	0	0	10	0	0	0	0	20
59	0	0	70	10	0	10	0	0	0	0	0	0	0	0	0	0	10
60	0	0	70	10	0	10	0	0	0	0	0	0	0	0	0	0	10
61	0	0	70	20	0	10	0	0	0	0	0	0	0	0	0	0	0
62	20	20	20	10	0	0	0	0	10	0	10	0	0	0	10	0	0
63	10	10	0	10	0	0	0	0	0	50	0	0	0	0	20	0	0
64	0	10	30	20	0	10	0	0	0	0	10	0	0	10	0	0	10
65	0	0	30	10	0	0	0	0	10	0	0	0	10	40	0	0	0
66	0	10	50	10	0	0	10	0	0	0	0	0	0	0	0	0	20
67	0	10	30	20	0	0	0	0	0	0	0	0	0	0	10	10	20
68	0	20	40	20	0	0	0	0	0	0	0	0	0	0	10	0	10
69	0	0	50	10	0	10	0	0	0	0	0	0	0	10	0	10	10
70	0	0	70	20	0	10	0	0	0	0	0	0	0	0	0	0	0
71	0	0	60	0	0	10	0	0	0	0	0	20	0	10	0	0	0
72	0	10	0	0	0	0	0	0	10	0	20	0	0	10	0	0	50
73	0	0	70	0	10	0	10	0	0	0	0	0	0	0	0	0	10
74	0	60	0	20	0	0	0	0	10	0	0	0	0	0	0	0	10
75	0	0	70	10	0	10	0	0	0	0	0	0	0	0	0	0	10
76	0	20	0	10	0	0	0	0	0	0	10	0	0	0	10	0	50
77	0	10	60	20	0	0	0	0	0	0	0	0	0	10	0	0	0
78	0	0	70	10	0	0	0	0	0	0	0	0	0	0	0	10	10
79	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	10
80	10	10	0	10	0	0	0	0	0	0	0	0	0	0	10	0	60
81	0	20	0	10	10	0	0	0	10	0	10	0	0	0	10	0	30
82	0	10	40	20	0	10	0	0	0	0	0	0	0	0	10	0	10
83	10	10	50	20	0	0	0	0	0	0	0	0	10	0	0	0	0
84	20	20	10	10	0	0	0	0	0	0	20	10	0	0	10	0	0
85	0	0	70	10	0	10	0	0	0	0	0	0	0	0	0	0	10
86	10	0	50	10	0	0	0	0	0	0	0	0	10	0	0	0	20
87	10	20	20	10	10	0	0	0	0	10	20	0	0	0	0	0	0
88	0	10	40	0	0	10	0	0	0	0	0	0	0	30	0	0	10
89	0	10	30	20	0	0	0	0	10	0	0	0	0	0	0	10	20
90	0	40	20	0	20	0	0	0	0	0	0	10	0	0	0	10	0
91	0	10	70	10	0	10	0	0	0	0	0	0	0	0	0	0	0
92	10	0	0	10	0	0	0	10	40	0	0	0	0	0	30	0	0
93	0	10	30	20	0	0	0	0	0	0	0	0	0	0	10	10	20
94	10	10	20	10	0	0	0	0	10	0	10	0	0	0	10	0	20
